group_prefix,reported,confirmed,not_confirmed,not_minor_planet,does_not_exist,suspected_artificial,success_rate
P12,369,310,49,1,9,0,0.840
P22,282,261,21,0,0,0,0.926
ST2,202,123,48,3,28,0,0.609
A11,190,122,26,34,8,0,0.642
C1F,74,52,20,0,2,0,0.703
TF2,64,45,7,0,12,0,0.703
ZTF,62,26,29,4,1,2,0.419
C46,50,39,4,5,2,0,0.780
CEP,40,37,2,0,1,0,0.925
CER,39,32,6,0,1,0,0.821
CEL,30,28,2,0,0,0,0.933
CEQ,29,28,1,0,0,0,0.966
CEM,23,21,2,0,0,0,0.913
SO0,21,8,5,7,1,0,0.381
C1G,21,18,2,0,1,0,0.857
GB0,16,16,0,0,0,0,1.000
COM,15,15,0,0,0,0,1.000
SAR,13,11,0,1,1,0,0.846
SK0,11,1,0,2,8,0,0.091
ORA,10,2,3,0,5,0,0.200
MZ2,10,4,2,2,2,0,0.400
W02,9,7,1,0,1,0,0.778
LA0,9,2,6,0,1,0,0.222
C1E,9,9,0,0,0,0,1.000
SE0,8,4,1,0,3,0,0.500
STO,6,4,1,1,0,0,0.667
XA9,6,5,1,0,0,0,0.833
CEN,6,6,0,0,0,0,1.000
ABC,5,3,2,0,0,0,0.600
X90,5,0,2,0,3,0,0.000
X89,5,3,2,0,0,0,0.600
6H6,4,3,1,0,0,0,0.750
6H8,4,3,1,0,0,0,0.750
NAO,4,0,4,0,0,0,0.000
XAA,3,2,1,0,0,0,0.667
6HJ,3,2,1,0,0,0,0.667
OCA,3,2,1,0,0,0,0.667
ROC,3,0,3,0,0,0,0.000
MOP,3,3,0,0,0,0,1.000
S00,3,1,1,0,1,0,0.333
ORC,2,2,0,0,0,0,1.000
TR0,2,1,0,0,0,1,0.500
MAS,2,2,0,0,0,0,1.000
6J3,2,2,0,0,0,0,1.000
6J1,2,2,0,0,0,0,1.000
MQM,2,1,1,0,0,0,0.500
6HM,2,1,1,0,0,0,0.500
6HL,2,2,0,0,0,0,1.000
6H7,2,1,1,0,0,0,0.500
MQK,2,2,0,0,0,0,1.000
ARM,2,1,1,0,0,0,0.500
6HE,2,2,0,0,0,0,1.000
MP9,2,2,0,0,0,0,1.000
RFD,2,0,2,0,0,0,0.000
6H3,2,2,0,0,0,0,1.000
JCM,2,0,0,0,2,0,0.000
8NF,1,1,0,0,0,0,1.000
RDS,1,1,0,0,0,0,1.000
6JA,1,1,0,0,0,0,1.000
6JB,1,1,0,0,0,0,1.000
S06,1,0,1,0,0,0,0.000
6J9,1,1,0,0,0,0,1.000
ORE,1,1,0,0,0,0,1.000
CYT,1,1,0,0,0,0,1.000
OQU,1,0,1,0,0,0,0.000
XL0,1,1,0,0,0,0,1.000
6J7,1,1,0,0,0,0,1.000
TR6,1,0,1,0,0,0,0.000
JJD,1,1,0,0,0,0,1.000
6J2,1,1,0,0,0,0,1.000
KUQ,1,1,0,0,0,0,1.000
MRV,1,1,0,0,0,0,1.000
6HK,1,0,1,0,0,0,0.000
MQP,1,1,0,0,0,0,1.000
RMM,1,1,0,0,0,0,1.000
E00,1,0,1,0,0,0,0.000
MQJ,1,1,0,0,0,0,1.000
W2P,1,1,0,0,0,0,1.000
OP9,1,0,1,0,0,0,0.000
6HI,1,1,0,0,0,0,1.000
OQI,1,1,0,0,0,0,1.000
MQF,1,1,0,0,0,0,1.000
6HF,1,1,0,0,0,0,1.000
NOB,1,1,0,0,0,0,1.000
OP5,1,1,0,0,0,0,1.000
6H4,1,1,0,0,0,0,1.000
OON,1,1,0,0,0,0,1.000
ONJ,1,1,0,0,0,0,1.000
8N9,1,0,0,0,1,0,0.000
161,1,1,0,0,0,0,1.000
MOQ,1,1,0,0,0,0,1.000
W2O,1,1,0,0,0,0,1.000
W2N,1,1,0,0,0,0,1.000
MNE,1,1,0,0,0,0,1.000
MNF,1,1,0,0,0,0,1.000
ONE,1,1,0,0,0,0,1.000
PDO,1,1,0,0,0,0,1.000
OMO,1,1,0,0,0,0,1.000
8N8,1,0,1,0,0,0,0.000
8N6,1,0,1,0,0,0,0.000
V08,1,0,1,0,0,0,0.000
BAS,1,0,0,0,1,0,0.000
6FI,1,0,0,0,1,0,0.000
19E,1,0,0,0,1,0,0.000
6F8,1,1,0,0,0,0,1.000
IUF,1,1,0,0,0,0,1.000
ML8,1,0,1,0,0,0,0.000
DNA,1,0,0,0,1,0,0.000
HJU,1,1,0,0,0,0,1.000
8N5,1,1,0,0,0,0,1.000
KQL,1,0,1,0,0,0,0.000
C07,1,0,1,0,0,0,0.000
6F5,1,1,0,0,0,0,1.000
JUN,1,1,0,0,0,0,1.000
OKR,1,0,1,0,0,0,0.000
6EN,1,0,1,0,0,0,0.000
C03,1,1,0,0,0,0,1.000
SJA,1,0,0,0,1,0,0.000
KPM,1,0,1,0,0,0,0.000
6EO,1,1,0,0,0,0,1.000
6EM,1,1,0,0,0,0,1.000
CZY,1,1,0,0,0,0,1.000
8N2,1,1,0,0,0,0,1.000
MKQ,1,1,0,0,0,0,1.000
MKP,1,1,0,0,0,0,1.000
GS2,1,1,0,0,0,0,1.000
6EI,1,0,0,1,0,0,0.000
6EF,1,1,0,0,0,0,1.000
6EE,1,1,0,0,0,0,1.000
6E9,1,1,0,0,0,0,1.000
6EB,1,1,0,0,0,0,1.000
C1C,1,0,1,0,0,0,0.000
C10,1,1,0,0,0,0,1.000
